chromosome	start	end	total_cn
chr7	8969826	8969827	2
chr16	69965363	69965364	2
chr6	42799061	42799062	2
chr5	112341287	112341288	2
chr18	25181072	25181073	2
chr4	161467594	161467595	2
chr20	9331809	9331810	2
chr4	120222333	120222334	2
chr2	172265276	172265277	2
chr7	13029627	13029628	2
chr22	30130637	30130638	2
chr8	93160627	93160628	2
chr2	175742630	175742631	2
chr13	79388345	79388346	2
chr22	36373734	36373735	2
chr11	43087485	43087486	2
chr13	48686689	48686690	2
chr13	55857136	55857137	2
chr1	73855909	73855910	2
chr15	47441439	47441440	2
chr20	11364928	11364929	2
chr19	57420494	57420495	2
chr2	211482519	211482520	2
chr14	24741966	24741967	2
chr10	72457668	72457669	2
chr22	25336138	25336139	2
chr15	57903672	57903673	2
chr8	90549436	90549437	2
chr14	66955403	66955404	2
chr22	33526899	33526900	2
chr3	118332000	118332001	2
chr18	47226806	47226807	2
chr15	68803108	68803109	2
chr5	109880868	109880869	2
chr18	45257516	45257517	2
chr21	23195438	23195439	2
chr16	80168169	80168170	2
chr21	15266469	15266470	2
chr5	132859307	132859308	2
chr6	44729362	44729363	2
chr14	85121459	85121460	2
chr22	39022948	39022949	2
chr5	109323021	109323022	2
chr6	37234591	37234592	2
chr13	81958343	81958344	2
chr1	31373859	31373860	2
chr17	54251124	54251125	2
chr19	56211934	56211935	2
chr10	67530168	67530169	2
chr16	47052767	47052768	2
chr22	46123033	46123034	2
chr19	51463814	51463815	2
chr6	46946943	46946944	2
chr11	11772894	11772895	2
chr1	60673519	60673520	2
chr20	16233622	16233623	2
chr20	13748618	13748619	2
chr2	186356626	186356627	2
chr13	52671207	52671208	2
chr9	108859900	108859901	2
chr4	155007984	155007985	2
chr15	32371412	32371413	2
chr8	122746925	122746926	2
chr11	47357690	47357691	2
chr12	57730338	57730339	2
chr10	103886952	103886953	2
chr11	46140541	46140542	2
chr11	8497742	8497743	2
chr21	33149134	33149135	2
chr10	98275844	98275845	2
chr6	26019137	26019138	2
chr11	50724045	50724046	2
chr20	2818552	2818553	2
chr3	101955631	101955632	2
chr3	120138792	120138793	2
chr4	82980133	82980134	2
chr9	97814434	97814435	2
chr22	48719773	48719774	2
chr15	39873859	39873860	2
chr19	28143398	28143399	2
chr4	186983804	186983805	2
chr7	6324598	6324599	2
chr19	41772844	41772845	2
chr9	102395901	102395902	2
chr11	24069999	24070000	2
chr9	113981901	113981902	2
chr15	56695576	56695577	2
chr21	25633139	25633140	2
chr20	7018204	7018205	2
chr3	155115243	155115244	2
chr5	121041458	121041459	2
chr10	111256435	111256436	2
chr2	229879167	229879168	2
chr9	125766511	125766512	2
chr13	46821055	46821056	2
chr21	21668573	21668574	2
chr2	225610793	225610794	2
chr5	115580690	115580691	2
chr18	41303065	41303066	2
chr8	133014277	133014278	2
chr18	34913507	34913508	2
chr17	55875720	55875721	2
chr12	92962081	92962082	2
chr4	111116477	111116478	2
chr13	52257955	52257956	2
chr4	165335093	165335094	2
chr16	75017216	75017217	2
chr17	34918392	34918393	2
chr12	89828503	89828504	2
chr6	36853882	36853883	2
chr17	39200596	39200597	2
chr12	48852370	48852371	2
chr17	41389336	41389337	2
chr18	45844008	45844009	2
chr21	29605611	29605612	2
chr7	41404782	41404783	2
chr2	201104859	201104860	2
chr16	60261748	60261749	2
chr18	45303989	45303990	2
chr18	28764900	28764901	2
chr17	42161455	42161456	2
chr12	105025065	105025066	2
chr9	132618506	132618507	2
chr20	15564733	15564734	2
chr21	32725716	32725717	2
chr6	49190900	49190901	2
chr15	40589380	40589381	2
chr3	176001073	176001074	2
chr21	28386705	28386706	2
chr5	99185002	99185003	2
chr10	107319376	107319377	2
chr7	18442140	18442141	2
chr3	114149224	114149225	2
chr21	19240590	19240591	2
chr11	4167757	4167758	2
chr13	75410448	75410449	2
chr2	178403208	178403209	2
chr14	83659988	83659989	2
chr14	24772680	24772681	2
chr17	35539306	35539307	2
chr16	72837476	72837477	2
chr10	81463405	81463406	2
chr12	63228451	63228452	2
chr10	115927388	115927389	2
chr4	135688045	135688046	2
chr17	37375406	37375407	2
chr6	5875960	5875961	2
chr8	126396943	126396944	2
chr20	21966157	21966158	2
chr1	58538223	58538224	2
chr1	92109386	92109387	2
chr6	40862042	40862043	2
chr9	108272676	108272677	2
chr6	49739410	49739411	2
chr17	42481692	42481693	2
chr4	75771547	75771548	2
chr3	141645836	141645837	2
chr17	52016947	52016948	2
chr8	133597265	133597266	2
chr7	18819073	18819074	2
chr12	45950807	45950808	2
chr10	83783516	83783517	2
chr9	97636214	97636215	2
chr8	138235587	138235588	2
chr12	55195021	55195022	2
chr3	140985891	140985892	2
chr13	49718005	49718006	2
chr6	26775527	26775528	2
chr16	79227730	79227731	2
chr8	94813594	94813595	2
chr10	80206025	80206026	2
chr12	108143537	108143538	2
chr19	57826858	57826859	2
chr18	46382320	46382321	2
chr3	172520838	172520839	2
chr20	3149865	3149866	2
chr11	21677548	21677549	2
chr1	81051566	81051567	2
chr21	23975817	23975818	2
chr9	97572073	97572074	2
chr8	96650857	96650858	2
chr18	41880258	41880259	2
chr6	47810540	47810541	2
chr17	58228475	58228476	2
chr1	98583815	98583816	2
chr18	42954792	42954793	2
chr8	131462118	131462119	2
chr2	196186498	196186499	2
chr19	44966795	44966796	2
chr16	50825569	50825570	2
chr10	82264512	82264513	2
chr20	14931720	14931721	2
chr4	126499006	126499007	2
chr18	51249427	51249428	2
chr21	28834324	28834325	2
chr14	71105163	71105164	2
chr9	111729499	111729500	2
chr6	53350112	53350113	2
chr18	45876440	45876441	2
chr1	64271634	64271635	2
chr12	103433216	103433217	2
chr11	50704411	50704412	2
chr4	171265278	171265279	2
chr5	133604766	133604767	2
chr4	131443958	131443959	2
chr14	58742067	58742068	2
chr6	31255117	31255118	2
chr11	25846717	25846718	2
chr5	133747395	133747396	2
chr8	133769119	133769120	2
chr1	78271199	78271200	2
chr5	101236479	101236480	2
chr18	22162332	22162333	2
chr6	26352008	26352009	2
chr10	100714157	100714158	2
chr6	48431151	48431152	2
chr17	49263172	49263173	2
chr20	9840217	9840218	2
chr7	49378839	49378840	2
chr10	106301109	106301110	2
chr13	54686215	54686216	2
chr22	40309131	40309132	2
chr16	54528071	54528072	2
chr17	35955038	35955039	2
chr22	27751414	27751415	2
chr6	11223309	11223310	2
chr22	38114105	38114106	2
chr20	15703657	15703658	2
chr7	13619962	13619963	2
chr16	67988096	67988097	2
chr18	31084041	31084042	2
chr7	32893612	32893613	2
chr2	217256466	217256467	2
chr18	46884560	46884561	2
chr18	37047371	37047372	2
chr16	70534320	70534321	2
chr16	63524203	63524204	2
chr16	74726825	74726826	2
chr16	64086199	64086200	2
chr18	27254831	27254832	2
chr22	20635824	20635825	2
chr5	113626282	113626283	2
chr8	93859395	93859396	2
chr13	79111987	79111988	2
chr14	85082638	85082639	2
chr7	24498902	24498903	2
chr13	46309771	46309772	2
chr14	31025680	31025681	2
chr15	47977764	47977765	2
chr8	121417060	121417061	2
chr14	33915662	33915663	2
chr11	32570771	32570772	2
chr6	33909904	33909905	2
chr14	33682056	33682057	2
chr16	47311661	47311662	2
chr11	50384660	50384661	2
chr21	16119424	16119425	2
chr15	42818241	42818242	2
chr7	16329643	16329644	2
chr22	42821987	42821988	2
chr4	76802262	76802263	2
chr14	50090645	50090646	2
chr12	101849103	101849104	2
chr21	21072534	21072535	2
chr4	139813014	139813015	2
chr6	1687055	1687056	2
chr11	5895215	5895216	2
chr10	83318037	83318038	2
chr22	20972977	20972978	2
chr22	38361270	38361271	2
chr2	201341587	201341588	2
chr2	205816557	205816558	2
chr8	122258805	122258806	2
chr11	48079575	48079576	2
chr16	48147759	48147760	2
chr21	32780478	32780479	2
chr20	18207041	18207042	2
chr20	24990030	24990031	2
chr14	92406328	92406329	2
chr16	51329003	51329004	2
chr2	193405780	193405781	2
chr2	161142586	161142587	2
chr5	125864433	125864434	2
chr6	55814576	55814577	2
chr21	24086562	24086563	2
chr18	32086981	32086982	2
chr6	39992128	39992129	2
chr22	23803104	23803105	2
chr19	47128268	47128269	2
chr11	35653302	35653303	2
chr2	227148987	227148988	2
chr13	56668712	56668713	2
chr12	50747000	50747001	2
chr10	73613100	73613101	2
chr9	130513847	130513848	2
chr9	124393413	124393414	2
chr8	102031468	102031469	2
chr20	11469035	11469036	2
chr19	29170089	29170090	2
chr15	50829756	50829757	2
chr13	56655459	56655460	2
chr21	16591398	16591399	2
chr12	85112977	85112978	2
chr17	52176592	52176593	2
chr1	47227077	47227078	2
chr10	69872291	69872292	2
chr22	31034160	31034161	2
chr13	19182272	19182273	2
chr15	35741851	35741852	2
chr4	118976148	118976149	2
chr11	2341212	2341213	2
chr19	29106830	29106831	2
chr16	56607325	56607326	2
chr11	19389155	19389156	2
chr9	131132690	131132691	2
chr7	17069541	17069542	2
chr12	67162778	67162779	2
chr8	101691574	101691575	2
chr6	43424683	43424684	2
chr2	230392068	230392069	2
chr20	13821246	13821247	2
chr9	106459024	106459025	2
chr3	166940127	166940128	2
chr13	51358615	51358616	2
chr5	133097918	133097919	2
chr14	104553140	104553141	2
chr3	141912483	141912484	2
chr20	4521657	4521658	2
chr10	98530527	98530528	2
chr3	135378878	135378879	2
chr13	62756087	62756088	2
chr4	117718297	117718298	2
chr9	128083373	128083374	2
chr14	84216964	84216965	2
chr1	52778397	52778398	2
chr2	154477922	154477923	2
chr10	66328851	66328852	2
chr8	130651185	130651186	2
chr19	38528603	38528604	2
chr6	24227183	24227184	2
chr8	139189570	139189571	2
chr4	102931518	102931519	2
chr3	154615980	154615981	2
chr9	121975617	121975618	2
chr4	150133818	150133819	2
chr15	51927098	51927099	2
chr2	227314452	227314453	2
chr14	64090480	64090481	2
chr4	92152144	92152145	2
chr19	45190208	45190209	2
chr21	20301902	20301903	2
chr14	63083540	63083541	2
chr18	49291061	49291062	2
chr17	59182037	59182038	2
chr2	191565516	191565517	2
chr14	81494057	81494058	2
chr1	46971250	46971251	2
chr6	48193544	48193545	2
chr16	77143799	77143800	2
chr12	39622409	39622410	2
chr17	60233624	60233625	2
chr12	95820548	95820549	2
chr20	3806895	3806896	2
chr20	13324413	13324414	2
chr10	85064635	85064636	2
chr15	34675410	34675411	2
chr12	102715194	102715195	2
chr8	87378878	87378879	2
chr8	132485682	132485683	2
chr20	23494519	23494520	2
chr15	60733061	60733062	2
chr6	20099663	20099664	2
chr5	131241326	131241327	2
chr2	191678217	191678218	2
chr14	90389728	90389729	2
chr13	80965423	80965424	2
chr10	85831778	85831779	2
chr6	1075187	1075188	2
chr15	65856494	65856495	2
chr18	33598156	33598157	2
chr14	50061649	50061650	2
chr17	60781294	60781295	2
chr11	14330298	14330299	2
chr10	110794434	110794435	2
chr17	60533366	60533367	2
chr4	75993271	75993272	2
chr10	115110589	115110590	2
chr13	82719408	82719409	2
chr16	84563981	84563982	2
chr18	50487518	50487519	2
chr13	50848208	50848209	2
chr19	48347578	48347579	2
chr13	56550558	56550559	2
chr10	96869841	96869842	2
chr12	80469729	80469730	2
chr17	40778632	40778633	2
chr15	41594318	41594319	2
chr14	80215553	80215554	2
chr17	62300953	62300954	2
chr12	59239308	59239309	2
chr18	42915243	42915244	2
chr2	224827812	224827813	2
chr2	200876083	200876084	2
chr3	94018062	94018063	2
chr11	39469021	39469022	2
chr22	49395916	49395917	2
chr19	47944552	47944553	2
chr1	75577470	75577471	2
chr2	150310903	150310904	2
chr4	149163892	149163893	2
chr3	137072415	137072416	2
chr1	60098889	60098890	2
chr6	45230481	45230482	2
chr17	41214325	41214326	2
chr6	56249014	56249015	2
chr15	65277138	65277139	2
chr11	34609971	34609972	2
chr21	29925057	29925058	2
chr16	72487164	72487165	2
chr14	83937496	83937497	2
chr19	35468207	35468208	2
chr9	131387098	131387099	2
chr3	171838583	171838584	2
chr13	31155195	31155196	2
chr16	75435737	75435738	2
chr11	26709284	26709285	2
chr17	61595050	61595051	2
chr2	194553688	194553689	2
chr10	67194067	67194068	2
chr7	38739990	38739991	2
chr4	115081028	115081029	2
chr22	23970071	23970072	2
chr10	75940539	75940540	2
chr1	69707947	69707948	2
chr6	8689551	8689552	2
chr22	28734951	28734952	2
chr4	135006392	135006393	2
chr2	191082476	191082477	2
chr6	1802276	1802277	2
chr19	36878298	36878299	2
chr16	77162981	77162982	2
chr19	38804829	38804830	2
chr21	27564704	27564705	2
chr2	184649179	184649180	2
chr2	220662334	220662335	2
chr9	123107871	123107872	2
chr6	6813488	6813489	2
chr5	132457336	132457337	2
chr13	29422790	29422791	2
chr14	93787909	93787910	2
chr20	17389077	17389078	2
chr19	54962570	54962571	2
chr12	39086895	39086896	2
chr21	31915987	31915988	2
chr22	29064679	29064680	2
chr21	27409428	27409429	2
chr12	103616024	103616025	2
chr21	22740831	22740832	2
chr19	42345605	42345606	2
chr10	102483985	102483986	2
chr18	49977282	49977283	2
chr16	58739812	58739813	2
chr22	31936344	31936345	2
chr16	87771110	87771111	2
chr10	91653225	91653226	2
chr1	91444440	91444441	2
chr6	44318270	44318271	2
chr6	14089779	14089780	2
chr22	31046261	31046262	2
chr10	99821733	99821734	2
chr5	100032859	100032860	2
chr2	155841600	155841601	2
chr8	124928540	124928541	2
chr7	11882611	11882612	2
chr20	15173836	15173837	2
chr9	130983023	130983024	2
chr21	18784967	18784968	2
chr15	36407091	36407092	2
chr6	11798015	11798016	2
chr15	67938743	67938744	2
chr22	43081468	43081469	2
chr10	87634051	87634052	2
chr19	56824602	56824603	2
chr6	23108635	23108636	2
chr11	48272925	48272926	2
chr13	68191659	68191660	2
chr18	30195365	30195366	2
chr7	21035988	21035989	2
chr4	127707030	127707031	2
chr20	9282797	9282798	2
chr2	183080747	183080748	2
chr13	78004016	78004017	2
chr15	36000515	36000516	2
chr3	186082070	186082071	2
chr3	149519013	149519014	2
chr5	97309576	97309577	2
chr5	124752331	124752332	2
chr5	94122101	94122102	2
chr19	38951916	38951917	2
chr19	31859706	31859707	2
chr16	78937646	78937647	2
chr9	114179944	114179945	2
chr7	12707569	12707570	2
chr14	46302055	46302056	2
chr15	78702584	78702585	2
chr20	17849257	17849258	2
chr11	4930449	4930450	2
chr9	113735681	113735682	2
chr2	174844693	174844694	2
chr20	6807833	6807834	2
chr3	139202318	139202319	2
chr21	16435052	16435053	2
chr8	113401231	113401232	2
chr12	97322327	97322328	2
chr7	21388907	21388908	2
chr4	105122831	105122832	2
chr22	27164571	27164572	2
chr6	53090564	53090565	2
chr13	59393324	59393325	2
chr3	115412525	115412526	2
chr13	52958498	52958499	2
chr19	53001474	53001475	2
chr19	36353748	36353749	2
chr20	3094051	3094052	2
chr20	10836775	10836776	2
chr14	28251963	28251964	2
chr21	19223886	19223887	2
chr2	228819393	228819394	2
chr2	193767608	193767609	2
chr7	32059737	32059738	2
chr8	99918634	99918635	2
chr4	103649498	103649499	2
chr4	175251321	175251322	2
chr19	40376744	40376745	2
chr16	60247525	60247526	2
chr2	155597037	155597038	2
chr3	180107568	180107569	2
chr22	23181965	23181966	2
chr13	50168493	50168494	2
chr9	128664828	128664829	2
chr18	33748425	33748426	2
chr7	886998	886999	2
chr7	25223729	25223730	2
chr22	39623279	39623280	2
chr6	24860878	24860879	2
chr13	22264575	22264576	2
chr12	69267477	69267478	2
chr8	107951444	107951445	2
chr21	30113060	30113061	2
chr17	57571848	57571849	2
chr20	21937294	21937295	2
chr14	32070674	32070675	2
chr2	153171224	153171225	2
chr1	82807369	82807370	2
chr19	58785856	58785857	2
chr15	56276502	56276503	2
chr16	83222682	83222683	2
chr12	92690604	92690605	2
chr18	29012172	29012173	2
chr2	182770831	182770832	2
chr9	119209283	119209284	2
chr19	54864343	54864344	2
chr14	45215651	45215652	2
chr10	86251248	86251249	2
chr17	58389639	58389640	2
chr7	20041219	20041220	2
chr9	95678240	95678241	2
chr14	95823409	95823410	2
chr1	94013787	94013788	2
chr14	74660680	74660681	2
chr8	99962625	99962626	2
chr22	40726879	40726880	2
chr12	50097619	50097620	2
chr14	76191285	76191286	2
chr19	46397594	46397595	2
chr17	61256300	61256301	2
chr2	197561376	197561377	2
chr3	122736555	122736556	2
chr20	8880537	8880538	2
chr10	66496979	66496980	2
chr19	27949226	27949227	2
chr19	54876737	54876738	2
chr10	105594564	105594565	2
chr11	39769668	39769669	2
chr15	37511433	37511434	2
chr11	7574597	7574598	2
chr13	80284102	80284103	2
chr13	31996478	31996479	2
chr1	36163736	36163737	2
chr12	108690666	108690667	2
chr12	72931998	72931999	2
chr7	32360979	32360980	2
chr1	54817200	54817201	2
chr12	75195215	75195216	2
chr15	36150681	36150682	2
chr11	48029521	48029522	2
chr21	23035610	23035611	2
chr16	69646119	69646120	2
chr10	72215277	72215278	2
chr8	97155937	97155938	2
chr20	14479576	14479577	2
chr22	29914601	29914602	2
chr20	471821	471822	2
chr5	115050772	115050773	2
chr1	50063734	50063735	2
chr13	61225001	61225002	2
chr1	35188332	35188333	2
chr8	136763884	136763885	2
chr15	36041444	36041445	2
chr20	5908492	5908493	2
chr19	37542158	37542159	2
chr20	7454873	7454874	2
chr8	133555138	133555139	2
chr2	202834937	202834938	2
chr12	40352683	40352684	2
chr15	68682205	68682206	2
chr12	82728926	82728927	2
chr2	165426083	165426084	2
chr14	42405737	42405738	2
chr5	99016646	99016647	2
chr13	41018822	41018823	2
chr3	124668988	124668989	2
chr21	14897024	14897025	2
chr1	43651431	43651432	2
chr19	31008133	31008134	2
chr22	20812801	20812802	2
chr12	108470439	108470440	2
chr8	94800027	94800028	2
chr6	16082612	16082613	2
chr14	63290999	63291000	2
chr10	86256459	86256460	2
chr21	18056358	18056359	2
chr8	94827429	94827430	2
chr2	189104383	189104384	2
chr15	33809038	33809039	2
chr20	9042488	9042489	2
chr11	49450723	49450724	2
chr16	86255263	86255264	2
chr13	43158365	43158366	2
chr14	76852771	76852772	2
chr9	105582956	105582957	2
chr20	12726534	12726535	2
chr20	268391	268392	2
chr18	31806439	31806440	2
chr10	68159370	68159371	2
chr17	45044309	45044310	2
chr21	17714838	17714839	2
chr21	23886025	23886026	2
chr11	17582287	17582288	2
chr2	225218437	225218438	2
chr8	117558377	117558378	2
chr19	35334228	35334229	2
chr17	40180874	40180875	2
chr10	68927555	68927556	2
chr11	47581892	47581893	2
chr15	66353302	66353303	2
chr11	40887282	40887283	2
chr5	94840964	94840965	2
chr14	62378778	62378779	2
chr12	105162946	105162947	2
chr22	46571185	46571186	2
chr15	54144996	54144997	2
chr2	181534676	181534677	2
chr21	21961566	21961567	2
chr4	88802124	88802125	2
chr21	31929421	31929422	2
chr16	65916900	65916901	2
chr10	83243289	83243290	2
chr15	47153173	47153174	2
chr14	90552262	90552263	2
chr7	49615373	49615374	2
chr10	99986489	99986490	2
chr2	193773499	193773500	2
chr15	31281431	31281432	2
chr3	125024729	125024730	2
chr20	7007631	7007632	2
chr14	61426468	61426469	2
chr11	35081865	35081866	2
chr12	44180566	44180567	2
chr7	39280223	39280224	2
chr7	5427271	5427272	2
chr22	34023607	34023608	2
chr10	94926559	94926560	2
chr20	16507223	16507224	2
chr18	37042164	37042165	2
chr9	110686245	110686246	2
chr16	49515428	49515429	2
chr16	59138498	59138499	2
chr11	18358512	18358513	2
chr15	29310834	29310835	2
chr1	65986600	65986601	2
chr21	14481442	14481443	2
chr21	23577993	23577994	2
chr22	40022560	40022561	2
chr5	123962526	123962527	2
chr5	123596336	123596337	2
chr22	49403200	49403201	2
chr15	48569833	48569834	2
chr13	59329411	59329412	2
chr13	36980494	36980495	2
chr18	45991815	45991816	2
chr9	123557391	123557392	2
chr7	29437211	29437212	2
chr9	126680531	126680532	2
chr6	24500079	24500080	2
chr12	48786538	48786539	2
chr19	37666745	37666746	2
chr17	51172303	51172304	2
chr16	76283751	76283752	2
chr4	90599706	90599707	2
chr4	157344279	157344280	2
chr3	159280576	159280577	2
chr10	99574521	99574522	2
chr8	95870409	95870410	2
chr17	56803269	56803270	2
chr22	24756594	24756595	2
chr20	19827341	19827342	2
chr15	77818486	77818487	2
chr5	98883874	98883875	2
chr2	161162513	161162514	2
chr10	96590817	96590818	2
chr17	54464506	54464507	2
chr13	69736178	69736179	2
chr10	97842719	97842720	2
chr8	140338675	140338676	2
chr7	11803506	11803507	2
chr21	24094220	24094221	2
chr5	130042021	130042022	2
chr14	105826298	105826299	2
chr7	36289194	36289195	2
chr19	43975263	43975264	2
chr11	17391106	17391107	2
chr18	46762713	46762714	2
chr20	5606159	5606160	2
chr1	52304509	52304510	2
chr20	17830031	17830032	2
chr10	91970313	91970314	2
chr21	31658125	31658126	2
chr7	7308554	7308555	2
chr1	71813077	71813078	2
chr17	42589119	42589120	2
chr13	37207582	37207583	2
chr13	54432837	54432838	2
chr7	5750889	5750890	2
chr1	32332526	32332527	2
chr8	96070047	96070048	2
chr4	76765036	76765037	2
chr13	78212312	78212313	2
chr16	70692038	70692039	2
chr3	180583986	180583987	2
chr13	46419882	46419883	2
chr6	41344515	41344516	2
chr10	114663821	114663822	2
chr12	81642627	81642628	2
chr17	55242643	55242644	2
chr16	70025335	70025336	2
chr18	51980763	51980764	2
chr12	76878027	76878028	2
chr5	117702639	117702640	2
chr4	180045947	180045948	2
chr5	109806624	109806625	2
chr12	100029549	100029550	2
chr11	1447454	1447455	2
chr21	22267982	22267983	2
chr10	94791855	94791856	2
chr17	61793904	61793905	2
chr9	100393893	100393894	2
chr15	53525550	53525551	2
chr13	42612491	42612492	2
chr22	35312819	35312820	2
chr13	32914364	32914365	2
chr13	79664473	79664474	2
chr19	52494178	52494179	2
chr6	44114253	44114254	2
chr15	30452392	30452393	2
chr20	6712434	6712435	2
chr10	74399539	74399540	2
chr17	47399323	47399324	2
chr4	101113255	101113256	2
chr18	29425246	29425247	2
chr15	54924480	54924481	2
chr6	15114794	15114795	2
chr12	54178562	54178563	2
chr17	48065892	48065893	2
chr5	117722175	117722176	2
chr9	122416174	122416175	2
chr1	42294429	42294430	2
chr1	63011040	63011041	2
chr3	115477586	115477587	2
chr21	32041150	32041151	2
chr12	58820567	58820568	2
chr21	31215535	31215536	2
chr10	65134197	65134198	2
chr10	76313815	76313816	2
chr17	37523441	37523442	2
chr4	153191038	153191039	2
chr13	37873117	37873118	2
chr19	45047770	45047771	2
chr18	35557326	35557327	2
chr10	109014707	109014708	2
chr16	87187848	87187849	2
chr9	132845300	132845301	2
chr4	161541223	161541224	2
chr1	48664350	48664351	2
chr17	42621856	42621857	2
chr18	37067826	37067827	2
chr5	96412401	96412402	2
chr18	31844086	31844087	2
chr4	93036158	93036159	2
chr9	113285944	113285945	2
chr13	67858712	67858713	2
chr19	45691507	45691508	2
chr5	97802674	97802675	2
chr22	26080032	26080033	2
chr19	46248336	46248337	2
chr9	96087950	96087951	2
chr16	47136560	47136561	2
chr12	101049164	101049165	2
chr17	39497999	39498000	2
chr7	21425723	21425724	2
chr20	9524724	9524725	2
chr19	44537183	44537184	2
chr11	41380812	41380813	2
chr2	204542128	204542129	2
chr14	42781687	42781688	2
chr5	116245414	116245415	2
chr19	43859212	43859213	2
chr22	45179174	45179175	2
chr22	23819739	23819740	2
chr19	52934818	52934819	2
chr17	38793405	38793406	2
chr5	137994001	137994002	2
chr21	29028304	29028305	2
chr14	49107242	49107243	2
chr14	101185691	101185692	2
chr21	22416092	22416093	2
chr9	112728745	112728746	2
chr18	46817224	46817225	2
chr5	93838418	93838419	2
chr17	45375637	45375638	2
chr3	140977759	140977760	2
chr22	35618798	35618799	2
chr2	194801915	194801916	2
chr21	21981390	21981391	2
chr18	40522513	40522514	2
chr19	33123193	33123194	2
chr13	43185513	43185514	2
chr19	42696738	42696739	2
chr5	115562022	115562023	2
chr17	41772577	41772578	2
chr4	85272836	85272837	2
chr5	108325462	108325463	2
chr9	106709178	106709179	2
chr16	49909444	49909445	2
chr19	56615519	56615520	2
chr20	12925285	12925286	2
chr22	47211714	47211715	2
chr14	40858998	40858999	2
chr16	48477479	48477480	2
chr5	114190817	114190818	2
chr5	112920377	112920378	2
chr9	119780248	119780249	2
chr8	88403542	88403543	2
chr3	187480928	187480929	2
chr7	14731840	14731841	2
chr13	80428552	80428553	2
chr1	100711738	100711739	2
chr6	30137621	30137622	2
chr2	225449857	225449858	2
chr8	97203855	97203856	2
chr19	33768744	33768745	2
chr11	9260354	9260355	2
chr12	81318534	81318535	2
chr14	79040880	79040881	2
chr5	111685713	111685714	2
chr17	36675107	36675108	2
chr8	96036872	96036873	2
chr3	129901618	129901619	2
chr16	78448966	78448967	2
chr9	102064358	102064359	2
chr18	48601025	48601026	2
chr22	39430831	39430832	2
chr6	55502246	55502247	2
chr5	116130431	116130432	2
chr9	108579056	108579057	2
chr13	61965773	61965774	2
chr1	76882944	76882945	2
chr17	36660107	36660108	2
chr21	17708790	17708791	2
chr15	63020098	63020099	2
chr2	183855650	183855651	2
chr7	21938033	21938034	2
chr2	170241604	170241605	2
chr13	26249037	26249038	2
chr5	114349715	114349716	2
chr7	25566905	25566906	2
chr19	57263487	57263488	2
chr10	88301534	88301535	2
chr17	47646414	47646415	2
chr5	111197580	111197581	2
chr21	29691180	29691181	2
chr14	53131183	53131184	2
chr1	64625171	64625172	2
chr6	7461778	7461779	2
chr11	22355603	22355604	2
chr22	31524712	31524713	2
chr13	29346924	29346925	2
chr21	25745784	25745785	2
chr12	93562659	93562660	2
chr2	225365343	225365344	2
chr1	78199266	78199267	2
chr22	23043665	23043666	2
chr17	43763123	43763124	2
chr19	49739411	49739412	2
chr13	58557145	58557146	2
chr16	70645802	70645803	2
chr22	32231188	32231189	2
chr3	185402787	185402788	2
chr11	31174247	31174248	2
chr18	43601224	43601225	2
chr15	37544103	37544104	2
chr1	38694186	38694187	2
chr6	13679927	13679928	2
chr15	55014403	55014404	2
chr3	94096566	94096567	2
chr15	66544105	66544106	2
chr6	24859706	24859707	2
chr12	59067308	59067309	2
chr20	9590285	9590286	2
chr11	2728648	2728649	2
chr15	57272405	57272406	2
chr15	33932414	33932415	2
chr19	52587055	52587056	2
chr5	129544064	129544065	2
chr16	87876810	87876811	2
chr16	65570332	65570333	2
chr5	124550017	124550018	2
chr14	35239020	35239021	2
chr19	43473237	43473238	2
chr11	12360730	12360731	2
chr15	31603057	31603058	2
chr1	76308783	76308784	2
chr20	25018109	25018110	2
chr4	150207917	150207918	2
chr18	44096500	44096501	2
chr15	73720584	73720585	2
chr1	80488543	80488544	2
chr3	154145640	154145641	2
chr13	24926683	24926684	2
chr1	56800072	56800073	2
chr14	94445848	94445849	2
chr16	77096319	77096320	2
chr8	104188684	104188685	2
chr20	9638235	9638236	2
chr6	11129795	11129796	2
chr22	26475670	26475671	2
chr9	130404763	130404764	2
chr18	46734849	46734850	2
chr13	31493324	31493325	2
chr17	46673491	46673492	2
chr20	12274054	12274055	2
chr20	612658	612659	2
chr10	76812824	76812825	2
chr4	153581973	153581974	2
chr19	41055345	41055346	2
chr20	16121449	16121450	2
chr15	79417869	79417870	2
chr1	49974865	49974866	2
chr18	38933026	38933027	2
chr21	19022296	19022297	2
chr6	48998709	48998710	2
chr10	95055425	95055426	2
chr17	44825610	44825611	2
chr7	7325893	7325894	2
chr17	59207786	59207787	2
chr16	54491900	54491901	2
chr15	30201295	30201296	2
chr17	46616133	46616134	2
chr4	147560011	147560012	2
chr13	20864589	20864590	2
chr20	16209804	16209805	2
chr21	21282204	21282205	2
chr16	71139245	71139246	2
chr6	31271026	31271027	2
chr17	43568731	43568732	2
chr11	9039522	9039523	2
chr11	32454325	32454326	2
chr6	54713625	54713626	2
chr15	45968823	45968824	2
chr12	54555234	54555235	2
chr12	47726289	47726290	2
chr22	23352383	23352384	2
chr14	66752689	66752690	2
chr20	12335220	12335221	2
chr8	134279203	134279204	2
chr17	46225703	46225704	2
chr4	186401977	186401978	2
chr17	56032744	56032745	2
chr4	171121130	171121131	2
